LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,ParameterList
1,081110,001632,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.31.242:50010 is added to blk_-4064402392580460648 size 19951482,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.31.242:50010', 'blk_-4064402392580460648', '19951482']"
2,081110,001632,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.42.191:50010 is added to blk_126746973330987735 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.42.191:50010', 'blk_126746973330987735', '67108864']"
3,081110,001632,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.192:50010 is added to blk_-4064402392580460648 size 19951482,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.74.192:50010', 'blk_-4064402392580460648', '19951482']"
4,081110,001632,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000096_0/part-00096. blk_-1880683910547246259,3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,['/user/root/sortrand/_temporary/_task_200811092030_0002_r_000096_0/part-00096. blk_-1880683910547246259']
5,081110,001632,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.9.207:50010 is added to blk_2837455799996929388 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.250.9.207:50010', 'blk_2837455799996929388', '67108864']"
6,081110,001632,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000290_0/part-00290. blk_-69120004258440983,3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,['/user/root/sortrand/_temporary/_task_200811092030_0002_r_000290_0/part-00290. blk_-69120004258440983']
7,081110,001632,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.214.32:50010 is added to blk_-327886716134987382 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.214.32:50010', 'blk_-327886716134987382', '67108864']"
8,081110,001632,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.39.160:50010 is added to blk_8868106941010522145 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.39.160:50010', 'blk_8868106941010522145', '67108864']"
9,081110,001632,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000058_0/part-00058. blk_-1384784610220798814,3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,['/user/root/sortrand/_temporary/_task_200811092030_0002_r_000058_0/part-00058. blk_-1384784610220798814']
10,081110,001632,3718,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_8868106941010522145 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['0', 'blk_8868106941010522145 terminating']"
